Date_Time,Voltage(V),Charge_Capacity(Ah)
06/21/2018 20:21:37.000,3.576401711,0
06/21/2018 20:23:37.000,3.575814247,0
06/21/2018 20:25:37.000,3.575202942,0
06/21/2018 20:27:37.000,3.574509621,0
06/21/2018 20:29:37.000,3.573856354,0
06/21/2018 20:31:37.000,3.573313713,0
06/21/2018 20:33:37.000,3.572934151,0
06/21/2018 20:35:37.000,3.572692871,0
06/21/2018 20:37:37.000,3.572960854,0
06/21/2018 20:39:37.000,3.573086739,0
06/21/2018 20:41:37.000,3.57324028,0
06/21/2018 20:43:37.000,3.573255539,0
06/21/2018 20:45:37.000,3.573324203,0
06/21/2018 20:47:37.000,3.573371887,0
06/21/2018 20:49:37.000,3.573371887,0
06/21/2018 20:51:37.000,3.573461533,0
06/21/2018 20:53:37.000,3.573532104,0
06/21/2018 20:55:37.000,3.573531151,0
06/21/2018 20:57:37.000,3.573595047,0
06/21/2018 20:59:37.000,3.573651314,0
06/21/2018 21:01:37.000,3.573672295,0
06/21/2018 21:03:37.000,3.573803902,0
06/21/2018 21:05:37.000,3.573799133,0
06/21/2018 21:07:37.000,3.573843002,0
06/21/2018 21:09:37.000,3.573838234,0
06/21/2018 21:11:37.000,3.573967934,0
06/21/2018 21:13:37.000,3.574004173,0
06/21/2018 21:15:37.000,3.574057579,0
06/21/2018 21:17:37.000,3.574101448,0
06/21/2018 21:19:37.000,3.574062347,0
06/21/2018 21:21:37.000,3.574158669,0
06/21/2018 21:23:37.000,3.574180603,0
06/21/2018 21:25:37.000,3.57419014,0
06/21/2018 21:27:37.000,3.574309349,0
06/21/2018 21:29:37.000,3.574275017,0
06/21/2018 21:31:37.000,3.574356079,0
06/21/2018 21:33:37.000,3.574355125,0
06/21/2018 21:35:37.000,3.574383736,0
06/21/2018 21:37:37.000,3.574477196,0
06/21/2018 21:39:37.000,3.574483871,0
06/21/2018 21:41:37.000,3.574542999,0
06/21/2018 21:43:37.000,3.574604034,0
06/21/2018 21:45:37.000,3.574647903,0
06/21/2018 21:47:37.000,3.574762344,0
06/21/2018 21:49:37.000,3.574759483,0
06/21/2018 21:51:37.000,3.574892044,0
06/21/2018 21:53:37.000,3.574923515,0
06/21/2018 21:55:37.000,3.574973106,0
06/21/2018 21:57:37.000,3.574964523,0
06/21/2018 21:59:37.000,3.575056076,0
06/21/2018 22:01:37.000,3.57508564,0
06/21/2018 22:03:37.000,3.575172424,0
06/21/2018 22:05:37.000,3.57515049,0
06/21/2018 22:07:37.000,3.57526207,0
06/21/2018 22:09:37.000,3.575316429,0
06/21/2018 22:11:37.000,3.575325012,0
06/21/2018 22:13:37.000,3.575379372,0
06/21/2018 22:15:37.000,3.575479507,0
06/21/2018 22:17:37.000,3.575564384,0
06/21/2018 22:19:37.000,3.575551987,0
06/21/2018 22:21:37.000,4.200017929,0.058057077
